ANALYST,DATE,BROKER,RATING,RECOMMENDATION,TARGET_PRICE,BBTICKER,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME
Mar Mazo,1/17/2020,GVSN),NA,suspended coverage,-2.42E-14,BBVA SM Equity,Financials,Banks
Domntoro,1/8/2020,HSSBC,5,buy,5.6,BBVA SM Equity,Financials,Banks
And Lowe,12/3/2019,Beerg,1,sell,4.2,BBVA SM Equity,Financials,Banks
MarOjeda,10/4/2019,Baell,1,sell,5.3,BBVA SM Equity,Financials,Banks
Antpagna,10/4/2019,ISEVA,1,sell,-2.42E-14,BBVA SM Equity,Financials,Banks
Inilanos,4/5/2019,Keeux,NA,not rated,-2.42E-14,BBVA SM Equity,Financials,Banks
Nurvarez,11/12/2018,Rea 4,3,hold,6.49,BBVA SM Equity,Financials,Banks
Enrioppi,8/10/2018,Ha SA,5,buy,8.1,BBVA SM Equity,Financials,Banks
Micufert,9/9/2015,No/LB,3,hold,9,BBVA SM Equity,Financials,Banks
Matiksic,3/6/2020,Crsse,5,outperform,64.71,ALC SW Equity,Health Care,Health Care Equipment & Servic
Joaensch,3/4/2020,Ciiti,3,neutral,60.25,ALC SW Equity,Health Care,Health Care Equipment & Servic
Ed y-Day,3/4/2020,Reted,1,sell,-2.42E-14,ALC SW Equity,Health Care,Health Care Equipment & Servic
DavLewis,3/3/2020,Moley,5,Overwt/Attractive,67.06,ALC SW Equity,Health Care,Health Care Equipment & Servic
Jefhnson,3/2/2020,Baird,5,outperform,69,ALC SW Equity,Health Care,Health Care Equipment & Servic
Chrooley,3/2/2020,StInc,3,equalweight,65.04,ALC SW Equity,Health Care,Health Care Equipment & Servic
Danuchta,3/2/2020,Ba AG,2,reduce,53.5,ALC SW Equity,Health Care,Health Care Equipment & Servic
Chrquale,3/1/2020,Guies,3,neutral,-2.42E-14,ALC SW Equity,Health Care,Health Care Equipment & Servic
LauRossi,2/29/2020,Oc AG,1,sell,53,ALC SW Equity,Health Care,Health Care Equipment & Servic
Jamordon,2/28/2020,J.gan,3,neutral,58.1,ALC SW Equity,Health Care,Health Care Equipment & Servic
Ricitter,2/27/2020,SVink,3,market perform,66.07,ALC SW Equity,Health Care,Health Care Equipment & Servic
Anttrone,2/26/2020,Jeies,5,buy,75.24,ALC SW Equity,Health Care,Health Care Equipment & Servic
ScoBardo,2/26/2020,Beerg,5,buy,69,ALC SW Equity,Health Care,Health Care Equipment & Servic
Lawelsen,2/26/2020,Weies,5,overweight,68.4,ALC SW Equity,Health Care,Health Care Equipment & Servic
Ryaerman,2/26/2020,BTLLC,3,neutral,-2.42E-14,ALC SW Equity,Health Care,Health Care Equipment & Servic
Sebalker,2/25/2020,UBUBS,3,neutral,58.5,ALC SW Equity,Health Care,Health Care Equipment & Servic
Casy Lea,2/21/2020,ISEVA,3,hold,-2.42E-14,ALC SW Equity,Health Care,Health Care Equipment & Servic
Teaerage,1/11/2020,Arorp,3,hold,-2.42E-14,ALC SW Equity,Health Care,Health Care Equipment & Servic
DavEvans,11/28/2019,Keeux,2,reduce,50,ALC SW Equity,Health Care,Health Care Equipment & Servic
DelLouet,11/21/2019,Soale,1,sell,53,ALC SW Equity,Health Care,Health Care Equipment & Servic
Verajova,9/30/2019,Gochs,5,buy,66,ALC SW Equity,Health Care,Health Care Equipment & Servic
Hugolvet,7/2/2019,Br Co,3,neutral,57,ALC SW Equity,Health Care,Health Care Equipment & Servic
Teaerage,4/10/2019,WhLLC,3,Fairly Valued,49.12,ALC SW Equity,Health Care,Health Care Equipment & Servic
Chrudwig,3/6/2020,Bampe,5,buy,205,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Eduzalez,3/5/2020,Grder,5,buy,203.5,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Jueieper,3/5/2020,Baler,5,buy,240,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Handniok,3/5/2020,Alope,2,reduce,144,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Frailler,3/3/2020,Laerg,5,buy,200,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Steitman,3/2/2020,Soale,5,buy,210,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Demowers,3/2/2020,Coank,5,buy,200,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Svemeier,3/2/2020,InmbH,3,hold,166,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Mar Tonn,3/2/2020,M.rch,5,buy,220,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Stuarson,3/2/2020,Exbas,5,outperform,215,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Harrikse,2/28/2020,Moley,3,Equalwt/Attractive,170,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Josmendi,2/28/2020,J.gan,5,overweight,203,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Phichois,2/28/2020,Jeies,3,hold,175,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Maxurton,2/28/2020,Beein,5,outperform,220,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Angeedie,2/28/2020,Ciiti,5,buy,195,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Timhuldt,2/28/2020,Paies,3,hold,160,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Chaicott,2/28/2020,Reted,5,buy,-2.42E-14,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Dorswell,2/28/2020,Baays,5,overweight,214,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Ada Hull,2/26/2020,Ma AG,NA,suspended coverage,-2.42E-14,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Frahwope,2/25/2020,No/LB,5,buy,175,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Osciguez,2/25/2020,Baell,5,buy,205,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Valtaldy,2/24/2020,DaDay,5,buy,207.44,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Tomrayan,1/28/2020,RBets,5,outperform,220,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Patummel,1/28/2020,UBUBS,5,buy,220,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Timkossa,1/20/2020,Deank,5,buy,210,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Mic Raab,1/17/2020,Keeux,5,buy,204,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Geoliers,1/6/2020,Gochs,5,buy,194,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Henosman,12/9/2019,HSSBC,5,buy,205,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
GeoDieng,12/6/2019,OdBHF,5,buy,190,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Riclgert,10/31/2019,MoInc,5,buy,242,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Micunzet,5/16/2019,DZ AG,3,hold,149,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Teaerage,3/1/2019,Innte,5,buy,240,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Antpagna,6/15/2018,ISEVA,5,overweight,-2.42E-14,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Micchill,12/14/2016,Chrch,NA,no rating system,203.58,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Marhanzl,9/21/2015,Eroup,1,sell,-2.42E-14,VOW3 GR Equity,Consumer Discretionary,Automobiles & Components
Jamzinic,3/5/2020,Jeies,5,buy,310,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Bruteyne,3/5/2020,Beein,5,outperform,290,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Nisdhary,3/5/2020,Alope,4,add,278,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
AndGwynn,3/4/2020,Exbas,5,outperform,285,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
CliBlack,3/3/2020,Shers,5,buy,-2.42E-14,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Valtaldy,3/2/2020,DaDay,3,hold,-2.42E-14,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Victrova,2/27/2020,Crsse,1,underperform,216,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Jamstead,2/27/2020,Baays,5,overweight,290,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Thoavies,2/26/2020,Beerg,5,buy,295,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Ioatikis,2/4/2020,MoInc,3,hold,261,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Niculter,1/31/2020,Ciiti,5,buy,290,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
FabCaron,1/17/2020,Keeux,5,buy,289,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Borlcese,1/14/2020,J.gan,5,overweight,300,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Andteous,1/10/2020,HSSBC,3,hold,250,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Larbrink,1/10/2020,InmbH,3,hold,275,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Arn Joly,1/9/2020,Soale,3,hold,242,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Mardurno,1/9/2020,Moley,5,Overwt/In-Line,285,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Sopie Wu,1/9/2020,UBUBS,5,buy,315,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
RobJoyce,11/28/2019,Gochs,5,buy,280,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
ChrGuyot,10/3/2019,In SA,1,sell,223,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Micrstad,9/29/2019,M LLC,NA,no rating system,-2.42E-14,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Antpagna,9/28/2019,ISEVA,5,overweight,-2.42E-14,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Timrough,1/5/2018,Grder,3,hold,215,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Nicwkins,5/10/2016,CeLtd,1,sell,-2.42E-14,TSCO LN Equity,Consumer Staples,Food & Staples Retailing
Partonis,3/6/2020,Exbas,3,neutral,117,SREN SW Equity,Financials,Insurance
Die Hein,3/5/2020,Alope,2,reduce,89,SREN SW Equity,Financials,Insurance
Phi Kett,3/3/2020,Jeies,3,hold,101,SREN SW Equity,Financials,Insurance
Simmeier,3/2/2020,Ba AG,5,buy,106,SREN SW Equity,Financials,Insurance
Annisold,2/29/2020,Oc AG,5,buy,116,SREN SW Equity,Financials,Insurance
Kamssain,2/25/2020,RBets,3,sector perform,105,SREN SW Equity,Financials,Insurance
Thossard,2/25/2020,HSSBC,5,buy,115,SREN SW Equity,Financials,Insurance
Henfield,2/24/2020,MoInc,3,hold,90,SREN SW Equity,Financials,Insurance
Valtaldy,2/24/2020,DaDay,5,buy,116.6,SREN SW Equity,Financials,Insurance
Vikandhi,2/21/2020,Soale,3,hold,115,SREN SW Equity,Financials,Insurance
Vinhotra,2/21/2020,MeSpA,1,underperform,100,SREN SW Equity,Financials,Insurance
EmaMusio,2/21/2020,Moley,NA,restricted,-2.42E-14,SREN SW Equity,Financials,Insurance
JonUrwin,2/21/2020,UBUBS,1,sell,88.5,SREN SW Equity,Financials,Insurance
Edworris,2/21/2020,J.gan,5,overweight,120,SREN SW Equity,Financials,Insurance
Rolender,2/21/2020,OdBHF,3,neutral,116,SREN SW Equity,Financials,Insurance
Mic Haid,2/20/2020,Coank,3,hold,116,SREN SW Equity,Financials,Insurance
FarHanif,2/20/2020,Crsse,5,outperform,118,SREN SW Equity,Financials,Insurance
Daruskas,2/20/2020,Keods,1,underperform,88,SREN SW Equity,Financials,Insurance
Werirmer,2/20/2020,Laerg,3,hold,105,SREN SW Equity,Financials,Insurance
Thoenzel,2/20/2020,DZ AG,3,hold,114,SREN SW Equity,Financials,Insurance
Renocher,2/20/2020,Ma AG,3,hold,115,SREN SW Equity,Financials,Insurance
Ivakhmat,2/20/2020,Baays,5,overweight,119,SREN SW Equity,Financials,Insurance
Olichaut,1/13/2020,Br Co,3,neutral,120,SREN SW Equity,Financials,Insurance
HadCohen,1/6/2020,Deank,3,hold,100,SREN SW Equity,Financials,Insurance
JamShuck,12/6/2019,Ciiti,NA,withheld,-2.42E-14,SREN SW Equity,Financials,Insurance
Sampalus,11/28/2019,Gochs,5,buy,120,SREN SW Equity,Financials,Insurance
Vol Sack,11/5/2019,No/LB,3,hold,98,SREN SW Equity,Financials,Insurance
Antpagna,10/3/2019,ISEVA,1,sell,-2.42E-14,SREN SW Equity,Financials,Insurance
Micriest,3/8/2020,UBUBS,3,neutral,79,AMS SM Equity,Information Technology,Software & Services
Antpagna,3/7/2020,ISEVA,5,overweight,-2.42E-14,AMS SM Equity,Information Technology,Software & Services
Stallard,3/6/2020,J.gan,3,neutral,69,AMS SM Equity,Information Technology,Software & Services
Heloumes,3/6/2020,Alope,4,add,64.4,AMS SM Equity,Information Technology,Software & Services
Ivo Leal,3/5/2020,BBBVA,1,underperform,62,AMS SM Equity,Information Technology,Software & Services
NeiSteer,3/5/2020,Reted,5,buy,-2.42E-14,AMS SM Equity,Information Technology,Software & Services
NeiGlynn,3/4/2020,Crsse,1,underperform,56.89,AMS SM Equity,Information Technology,Software & Services
Daniolek,3/3/2020,MoInc,3,hold,57,AMS SM Equity,Information Technology,Software & Services
AleFaure,3/3/2020,Exbas,3,neutral,64,AMS SM Equity,Information Technology,Software & Services
Carevino,3/2/2020,Grder,1,underweight,67,AMS SM Equity,Information Technology,Software & Services
Antaudry,3/2/2020,HSSBC,3,hold,75,AMS SM Equity,Information Technology,Software & Services
Mar Jost,3/2/2020,InmbH,3,hold,70,AMS SM Equity,Information Technology,Software & Services
NicDavid,3/2/2020,OdBHF,3,neutral,64,AMS SM Equity,Information Technology,Software & Services
AlvLenze,3/2/2020,"Al,S.",1,sell,71.9,AMS SM Equity,Information Technology,Software & Services
Jamodman,3/2/2020,Baays,3,equalweight,63,AMS SM Equity,Information Technology,Software & Services
Gera Bou,3/2/2020,JBets,3,neutral,63,AMS SM Equity,Information Technology,Software & Services
Ada Wood,2/28/2020,Moley,5,Overwt/In-Line,80,AMS SM Equity,Information Technology,Software & Services
Julafini,2/28/2020,Jeies,5,buy,83,AMS SM Equity,Information Technology,Software & Services
Mar Sant,2/28/2020,Ciiti,1,sell,60,AMS SM Equity,Information Technology,Software & Services
Jua Pena,2/28/2020,GVSN),3,neutral,63.49,AMS SM Equity,Information Technology,Software & Services
Alv Pozo,2/28/2020,Baell,1,sell,70,AMS SM Equity,Information Technology,Software & Services
DavTogut,2/28/2020,EvISI,5,outperform,88,AMS SM Equity,Information Technology,Software & Services
Rafillas,2/28/2020,Ah SA,3,hold,65.9,AMS SM Equity,Information Technology,Software & Services
Ale Tout,2/24/2020,Deank,5,buy,80,AMS SM Equity,Information Technology,Software & Services
Valtaldy,2/24/2020,DaDay,5,buy,87.2,AMS SM Equity,Information Technology,Software & Services
Guiarrio,2/17/2020,Inres,2,reduce,61,AMS SM Equity,Information Technology,Software & Services
GonCueto,2/4/2020,Miies,1,sell,58.2,AMS SM Equity,Information Technology,Software & Services
Matgolet,1/14/2020,Gochs,5,buy,88,AMS SM Equity,Information Technology,Software & Services
Giaacina,1/7/2020,EqSpA,3,hold,74,AMS SM Equity,Information Technology,Software & Services
Guimpaio,11/25/2019,CaBPI,1,underperform,74.5,AMS SM Equity,Information Technology,Software & Services
WolDonie,8/26/2019,No/LB,5,buy,79,AMS SM Equity,Information Technology,Software & Services
Thorieux,8/1/2019,Keeux,2,reduce,60,AMS SM Equity,Information Technology,Software & Services
Inisardo,9/8/2017,Liies,3,hold,56.48,AMS SM Equity,Information Technology,Software & Services
Laufmann,3/6/2020,OdBHF,5,buy,26,AD NA Equity,Consumer Staples,Food & Staples Retailing
HanHaese,3/6/2020,INank,5,buy,22,AD NA Equity,Consumer Staples,Food & Staples Retailing
Robn Vos,3/6/2020,AB.V.,5,buy,26,AD NA Equity,Consumer Staples,Food & Staples Retailing
Nisdhary,3/5/2020,Alope,2,reduce,22.9,AD NA Equity,Consumer Staples,Food & Staples Retailing
Bruteyne,3/2/2020,Beein,3,market perform,25.2,AD NA Equity,Consumer Staples,Food & Staples Retailing
Ioatikis,2/27/2020,MoInc,3,hold,21,AD NA Equity,Consumer Staples,Food & Staples Retailing
AndGwynn,2/27/2020,Exbas,3,neutral,23,AD NA Equity,Consumer Staples,Food & Staples Retailing
Thoavies,2/26/2020,Beerg,1,sell,18.8,AD NA Equity,Consumer Staples,Food & Staples Retailing
Valtaldy,2/24/2020,DaDay,5,buy,26.57,AD NA Equity,Consumer Staples,Food & Staples Retailing
Borlcese,2/19/2020,J.gan,1,underweight,19,AD NA Equity,Consumer Staples,Food & Staples Retailing
FabCaron,2/18/2020,Keeux,3,hold,24.3,AD NA Equity,Consumer Staples,Food & Staples Retailing
Niculter,2/17/2020,Ciiti,5,buy,26,AD NA Equity,Consumer Staples,Food & Staples Retailing
Larbrink,2/17/2020,InmbH,3,hold,25,AD NA Equity,Consumer Staples,Food & Staples Retailing
ChrGuyot,2/17/2020,In SA,5,buy,25.7,AD NA Equity,Consumer Staples,Food & Staples Retailing
Jamstead,2/14/2020,Baays,3,equalweight,22,AD NA Equity,Consumer Staples,Food & Staples Retailing
Andteous,2/13/2020,HSSBC,5,buy,26,AD NA Equity,Consumer Staples,Food & Staples Retailing
Alaerghe,2/13/2020,KBies,5,buy,26,AD NA Equity,Consumer Staples,Food & Staples Retailing
Clenelot,2/13/2020,Br Co,3,neutral,22.6,AD NA Equity,Consumer Staples,Food & Staples Retailing
Cedasble,2/13/2020,Ma AG,1,sell,20,AD NA Equity,Consumer Staples,Food & Staples Retailing
ThiHoste,2/12/2020,Ke Co,5,buy,25,AD NA Equity,Consumer Staples,Food & Staples Retailing
Mardurno,2/12/2020,Moley,3,Equalwt/In-Line,24.2,AD NA Equity,Consumer Staples,Food & Staples Retailing
Judommer,2/12/2020,Crsse,3,neutral,24,AD NA Equity,Consumer Staples,Food & Staples Retailing
Jamzinic,2/12/2020,Jeies,3,hold,22,AD NA Equity,Consumer Staples,Food & Staples Retailing
Fer Boer,2/12/2020,Bacam,5,buy,26,AD NA Equity,Consumer Staples,Food & Staples Retailing
Mic Pohn,2/12/2020,DZ AG,1,sell,19.8,AD NA Equity,Consumer Staples,Food & Staples Retailing
Scoshkin,2/12/2020,R5tal,3,hold,24,AD NA Equity,Consumer Staples,Food & Staples Retailing
Sopie Wu,1/28/2020,UBUBS,3,neutral,21.3,AD NA Equity,Consumer Staples,Food & Staples Retailing
Arn Joly,12/12/2019,Soale,3,hold,21.5,AD NA Equity,Consumer Staples,Food & Staples Retailing
Antpagna,11/9/2019,ISEVA,5,buy,-2.42E-14,AD NA Equity,Consumer Staples,Food & Staples Retailing
RobJoyce,10/9/2019,Gochs,3,neutral,21.4,AD NA Equity,Consumer Staples,Food & Staples Retailing
Araneiro,10/4/2019,Baell,1,sell,22.35,AD NA Equity,Consumer Staples,Food & Staples Retailing
Juelfers,4/5/2019,Coank,5,buy,23.5,AD NA Equity,Consumer Staples,Food & Staples Retailing
Cedkblom,3/5/2020,Moley,3,Equalwt/In-Line,38,CRH ID Equity,Materials,Materials
Sejshney,3/5/2020,Alope,4,add,35.9,CRH ID Equity,Materials,Materials
Eph Ravi,3/4/2020,Ciiti,5,buy,40,CRH ID Equity,Materials,Materials
Svemeier,3/3/2020,InmbH,3,hold,35,CRH ID Equity,Materials,Materials
Yasuahri,3/3/2020,Onrch,3,neutral,40,CRH ID Equity,Materials,Materials
Greitsch,3/2/2020,UBUBS,5,buy,36.38,CRH ID Equity,Materials,Materials
Glyhnson,3/2/2020,Jeies,5,buy,40.2,CRH ID Equity,Materials,Materials
Svelfelt,3/2/2020,OdBHF,3,neutral,31,CRH ID Equity,Materials,Materials
Valtaldy,3/2/2020,DaDay,5,buy,42.39,CRH ID Equity,Materials,Materials
NabAhmed,3/2/2020,Baays,1,underweight,33,CRH ID Equity,Materials,Materials
Elo Rall,2/28/2020,J.gan,5,overweight,39,CRH ID Equity,Materials,Materials
DavBrien,2/28/2020,Goody,5,buy,35,CRH ID Equity,Materials,Materials
KriInton,2/28/2020,MoInc,3,hold,33.64,CRH ID Equity,Materials,Materials
Matlkert,2/28/2020,DZ AG,5,buy,37,CRH ID Equity,Materials,Materials
Toberner,2/28/2020,Ma AG,5,buy,38.5,CRH ID Equity,Materials,Materials
PauRoger,2/28/2020,Exbas,5,outperform,42.5,CRH ID Equity,Materials,Materials
JosPujal,2/18/2020,Keeux,NA,not rated,30,CRH ID Equity,Materials,Materials
WilJones,1/27/2020,Reted,5,buy,-2.42E-14,CRH ID Equity,Materials,Materials
Pateuset,12/20/2019,Gochs,3,neutral,35,CRH ID Equity,Materials,Materials
Robdiner,12/18/2019,Daavy,5,outperform,-2.42E-14,CRH ID Equity,Materials,Materials
Chrjorth,12/6/2019,Nuies,3,hold,35.64,CRH ID Equity,Materials,Materials
ManBeria,11/27/2019,Soale,5,buy,42.17,CRH ID Equity,Materials,Materials
Larlberg,11/26/2019,Crsse,3,neutral,38,CRH ID Equity,Materials,Materials
Johdrews,9/6/2019,HSSBC,5,buy,36,CRH ID Equity,Materials,Materials
Rob Muir,8/23/2019,Beerg,5,buy,34,CRH ID Equity,Materials,Materials
Marppola,3/1/2019,Innte,5,outperform,35,CRH ID Equity,Materials,Materials
Nikammer,3/6/2020,MoInc,5,buy,198,BARC LN Equity,Financials,Banks
Guybings,3/6/2020,Exbas,5,outperform,208,BARC LN Equity,Financials,Banks
RauSinha,3/4/2020,J.gan,5,overweight,210,BARC LN Equity,Financials,Banks
Davztajn,3/4/2020,Alope,4,add,159,BARC LN Equity,Financials,Banks
Jamnvine,3/3/2020,Soale,3,hold,160,BARC LN Equity,Financials,Banks
Jonierce,3/2/2020,Nuies,4,add,200,BARC LN Equity,Financials,Banks
Ben Toms,2/28/2020,RBets,3,sector perform,170,BARC LN Equity,Financials,Banks
Jannertz,2/28/2020,InmbH,1,sell,147,BARC LN Equity,Financials,Banks
Joserson,2/25/2020,Jeies,5,buy,252,BARC LN Equity,Financials,Banks
Valtaldy,2/24/2020,DaDay,5,buy,225.28,BARC LN Equity,Financials,Banks
Andoombs,2/21/2020,Ciiti,1,sell,165,BARC LN Equity,Financials,Banks
Cla Kane,2/17/2020,Crsse,3,neutral,185,BARC LN Equity,Financials,Banks
Ianordon,2/14/2020,Intec,5,buy,200,BARC LN Equity,Financials,Banks
Jasapier,2/14/2020,UBUBS,5,buy,205,BARC LN Equity,Financials,Banks
EdwFirth,2/14/2020,Keods,5,outperform,195,BARC LN Equity,Financials,Banks
Alvrrano,2/13/2020,Moley,3,Equalwt/Attractive,200,BARC LN Equity,Financials,Banks
Garnwood,2/13/2020,Shers,5,buy,260,BARC LN Equity,Financials,Banks
Petrdson,2/13/2020,Beerg,5,buy,220,BARC LN Equity,Financials,Banks
Benn Goy,2/12/2020,Deank,5,buy,208,BARC LN Equity,Financials,Banks
Adarelak,1/27/2020,MeSpA,5,outperform,200,BARC LN Equity,Financials,Banks
Patk Lee,1/17/2020,Grder,5,buy,235,BARC LN Equity,Financials,Banks
Maritgeb,1/17/2020,Gochs,3,neutral,240,BARC LN Equity,Financials,Banks
Fahunwar,12/17/2019,Reted,3,neutral,-2.42E-14,BARC LN Equity,Financials,Banks
Rob Down,11/26/2019,HSSBC,5,buy,210,BARC LN Equity,Financials,Banks
Antpagna,10/4/2019,ISEVA,1,underweight,-2.42E-14,BARC LN Equity,Financials,Banks
San Chen,5/23/2018,CeLtd,5,buy,-2.42E-14,BARC LN Equity,Financials,Banks
Guiymann,3/5/2020,Baler,5,buy,40.95,DPW GR Equity,Industrials,Transportation
Tobittig,3/5/2020,Ma AG,5,buy,36,DPW GR Equity,Industrials,Transportation
Luireira,3/5/2020,Alope,5,buy,35.8,DPW GR Equity,Industrials,Transportation
Robynson,3/4/2020,Exbas,5,outperform,41,DPW GR Equity,Industrials,Transportation
Adr Pehl,3/2/2020,Coank,5,buy,37,DPW GR Equity,Industrials,Transportation
Vol Sack,3/2/2020,No/LB,3,hold,28,DPW GR Equity,Industrials,Transportation
Chr Obst,3/2/2020,Bavea,4,add,40,DPW GR Equity,Industrials,Transportation
SamBland,3/2/2020,J.gan,3,neutral,30.07,DPW GR Equity,Industrials,Transportation
Svemeier,3/2/2020,InmbH,3,hold,30,DPW GR Equity,Industrials,Transportation
ChrCohrs,3/2/2020,M.rch,5,buy,39,DPW GR Equity,Industrials,Transportation
Valtaldy,3/2/2020,DaDay,1,sell,22.5,DPW GR Equity,Industrials,Transportation
Davstens,3/1/2020,Jeies,5,buy,38,DPW GR Equity,Industrials,Transportation
Mic Kuhn,2/28/2020,Soale,5,buy,40,DPW GR Equity,Industrials,Transportation
Rasnkpal,2/28/2020,Moley,5,Overwt/In-Line,37.5,DPW GR Equity,Industrials,Transportation
NeiGlynn,2/28/2020,Crsse,1,underperform,28.36,DPW GR Equity,Industrials,Transportation
Cridelcu,2/28/2020,UBUBS,5,buy,37,DPW GR Equity,Industrials,Transportation
Danoeska,2/28/2020,Beein,3,market perform,34,DPW GR Equity,Industrials,Transportation
Edwteele,2/28/2020,Ciiti,3,neutral,30,DPW GR Equity,Industrials,Transportation
Perlgren,2/28/2020,Laerg,3,hold,28,DPW GR Equity,Industrials,Transportation
Dirhlamp,2/28/2020,DZ AG,5,buy,36,DPW GR Equity,Industrials,Transportation
Wiloward,2/24/2020,Beerg,5,buy,39,DPW GR Equity,Industrials,Transportation
MatYoung,2/24/2020,MoInc,3,hold,28,DPW GR Equity,Industrials,Transportation
Andy Chu,2/20/2020,Deank,5,buy,40,DPW GR Equity,Industrials,Transportation
Andulder,2/6/2020,Keeux,5,buy,33,DPW GR Equity,Industrials,Transportation
Allmylie,2/3/2020,Daavy,5,outperform,-2.42E-14,DPW GR Equity,Industrials,Transportation
Matgolet,1/14/2020,Gochs,5,buy,50,DPW GR Equity,Industrials,Transportation
MarVicar,1/10/2020,Baays,5,overweight,40,DPW GR Equity,Industrials,Transportation
ChrKorth,12/2/2019,HSSBC,5,buy,39,DPW GR Equity,Industrials,Transportation
Araneiro,4/25/2019,Baell,5,buy,37.5,DPW GR Equity,Industrials,Transportation
Aleerson,9/17/2018,Intec,NA,suspended coverage,-2.42E-14,DPW GR Equity,Industrials,Transportation
Inghmidt,3/9/2016,Hasse,3,neutral,-2.42E-14,DPW GR Equity,Industrials,Transportation
Ivo Leal,3/5/2020,BBBVA,3,market perform,7.6,TEF SM Equity,Communication Services,Telecommunication Services
Jeavador,3/5/2020,Alope,5,buy,9.39,TEF SM Equity,Communication Services,Telecommunication Services
JosMills,3/4/2020,Exbas,1,underperform,5.2,TEF SM Equity,Communication Services,Telecommunication Services
Betscher,3/3/2020,Laerg,5,buy,8,TEF SM Equity,Communication Services,Telecommunication Services
Andmburu,3/2/2020,Baell,5,buy,8.5,TEF SM Equity,Communication Services,Telecommunication Services
Valtaldy,3/2/2020,DaDay,1,sell,4.61,TEF SM Equity,Communication Services,Telecommunication Services
Luinerva,2/26/2020,HSSBC,3,hold,7.1,TEF SM Equity,Communication Services,Telecommunication Services
Mar Jost,2/25/2020,InmbH,3,hold,6.8,TEF SM Equity,Communication Services,Telecommunication Services
Matliard,2/24/2020,Baays,5,overweight,8.3,TEF SM Equity,Communication Services,Telecommunication Services
Ottrisio,2/21/2020,Soale,3,hold,8,TEF SM Equity,Communication Services,Telecommunication Services
Jakstone,2/21/2020,Crsse,5,outperform,8.15,TEF SM Equity,Communication Services,Telecommunication Services
Giotalti,2/21/2020,UBUBS,3,neutral,6.4,TEF SM Equity,Communication Services,Telecommunication Services
